203,Main Madhuri Dixit Banna Chahti Hoon!,2003,Drama | Comedy,Antara Mali | Rajpal Yadav | Asif Basra | Rita Bhaduri,1
204,Munnabhai M.B.B.S.,2003,Comedy | Crime,Sunil Dutt | Sanjay Dutt | Arshad Warsi | Gracy Singh,6
205,Black,2005,Drama,Amitabh Bachchan | Rani Mukerji | Shernaz Patel | Ayesha Kapoor,4
206,Encounter: The Killing,2002,Crime | Drama,Naseeruddin Shah | Dilip Prabhavalkar | Tara Deshpande | Akash Khurana,1
207,Basti,2003,Action | Crime,Sadashiv Amrapurkar | Liyaqat Bari | Brij Gopal | Rajendra Gupta,1
208,Raghu Romeo,2003,Comedy,Vijay Raaz | Sadiya Siddiqui | Saurabh Shukla | Maria Goretti,1
209,Aetbaar,2004,Drama | Musical | Romance,Amitabh Bachchan | John Abraham | Bipasha Basu | Supriya Pilgaonkar,1
210,Hawayein,2003,Drama | Romance,Babbu Mann | Ammtoje Mann | Mahie Gill | Mukul Dev,1
211,Hum Tum,2004,Drama | Romance | Comedy,Saif Ali Khan | Rani Mukerji | Kiron Kher | Rati Agnihotri,6
212,Kagaar: Life on the Edge,2003,Crime | Drama,Om Puri | Nandita Das | Amitabh Dayal | Aditya Kotdar,1
213,I Proud to Be an Indian,2004,Action,Sohail Khan | Tim Lawrence | Scott Hinds | Phil Jones,1
214,Ek Din 24 Ghante,2003,Thriller,Rahul Bose | Ahmed Chaudhary | Nandita Das | Vinit Kumar,1
215,Chupke Se,2003,Comedy | Musical | Romance,Zulfi Sayed | Masumeh Makhija | Rati Agnihotri | Tinnu Anand,1
216,Market,2003,Drama | Musical,Manisha Koirala | Suman Ranganathan | Aryan Vaid | Shweta Menon,3
217,Master,2001,Action,Suneil Anand | Ting Leung | Sadashiv Amrapurkar | Leher Kala,1
218,Mumbai Matinee,2003,Romance | Comedy,Rahul Bose | Perizaad Zorabian | Vijay Raaz | Saurabh Shukla,1
219,Yuva,2004,Action | Adventure | Crime,Ajay Devgn | Abhishek Bachchan | Rani Mukerji | Vivek Oberoi,3
220,Zameen,2003,Action,Ajay Devgn | Abhishek Bachchan | Bipasha Basu | Mukesh Tiwari,3
221,Xcuse Me,2003,Comedy,Sharman Joshi | Sahil Khan | Anil Chaudhary | Snehal Dabi,1
222,Samay: When Time Strikes,2003,Thriller,Sushmita Sen | Lucy Bartholomew | Tushar Dalvi | Jatin Karia,1
223,Yeh Lamhe Judaai Ke,2004,Drama,Shah Rukh Khan | Raveena Tandon | Navneet Nishan | Avtar Gill,1
224,Border Hindustan Ka,2003,Action | Romance,Faisal Khan | Rajat Bedi | Aditya Pancholi | Priya Gill,1
225,Inteha,2003,Romance |Musical |Drama,Nauheed Cyrusi | Avtar Gill | Vidya Malvade | Ashmit Patel,1
226,Raja Bhaiya,2003,Comedy | Drama,Sadashiv Amrapurkar | Rakesh Bedi | Kajal Chakraborty | Aarti Chhabria,1
227,Woh Tera Naam Tha,2004,Romance,Arjan Bajwa | Rajat Bedi | Gaurav Chanana | Prem Chopra,1
228,Dhoop,2003,Drama,Om Puri | Revathy | Gul Panag | Preeti Dayal,1
229,Jodi Kya Banayi Wah Wah Ramji,2003,Comedy,Rotem Bar | Rakesh Bedi | Avtar Gill | Gulshan Grover,1
230,Patth,2003,Drama,Mukesh Ahuja | Abhay Bhargav | Suresh Chatwal | Milind Gunaji,1
231,Waisa Bhi Hota Hai Part II,2003,Comedy | Action | Crime,Arshad Warsi | Prashant Narayanan | Sandhya Mridul | Pratima Kazmi,1
232,Deewaar: Let's Bring Our Heroes Home,2004,War | Action | Drama,Amitabh Bachchan | Sanjay Dutt | Akshaye Khanna | Amrita Rao,1
